Document No.,Report Date,Journal,Account,Exp. Date,As of: 11/18/2022,1 - 30,31 - 60,61 - 90,91 - 120,Older,Total,Customer Name,Amount
LS12097,11/04/2022,SS,Accounts Receivable (A/R),,,265.0,,,,,,MADISON CENTRAL HIGH SCHOOL,265.0
LS12126,11/12/2022,SS,Accounts Receivable (A/R),,,274.53,,,,,,MADISON CENTRAL HIGH SCHOOL,274.53
LS9990,06/02/2021,SS,Accounts Receivable (A/R),,,,,,,149.8,,MAIN STREET COIN LAUNDRY,149.8
LS10207,07/23/2021,SS,Accounts Receivable (A/R),,,,,,,405.86,,"MARK V APARTMENTS - Monroe, LA",405.86
LS10684,12/03/2021,SS,Accounts Receivable (A/R),,,,,,,306.75,,"MARK V APARTMENTS - Monroe, LA",306.75
LS10727,12/15/2021,SS,Accounts Receivable (A/R),,,,,,,251.25,,"MARK V APARTMENTS - Monroe, LA",251.25
INV/2020/08/0026,08/24/2020,INV,Accounts Receivable (A/R),,,,,,,0.07,,MARTIN'S CLEANERS & LAUNDRY,0.07
LS9379,02/16/2021,SS,Accounts Receivable (A/R),,,,,,,1012.97,,MARTIN'S CLEANERS & LAUNDRY,1012.97
LS11662,07/20/2022,SS,Accounts Receivable (A/R),,,,,,,380.08,,MARTIN'S CLEANERS & LAUNDRY,380.08
LS11652,07/20/2022,SS,Accounts Receivable (A/R),,,,,,,1012.97,,MARTIN'S CLEANERS & LAUNDRY,1012.97
LS11783,08/16/2022,SS,Accounts Receivable (A/R),,,,,,380.08,,,MARTIN'S CLEANERS & LAUNDRY,380.08
LS11782,08/16/2022,SS,Accounts Receivable (A/R),,,,,,1012.97,,,MARTIN'S CLEANERS & LAUNDRY,1012.97
LS11921,09/16/2022,SS,Accounts Receivable (A/R),,,,,380.08,,,,MARTIN'S CLEANERS & LAUNDRY,380.08
LS11920,09/16/2022,SS,Accounts Receivable (A/R),,,,,1012.97,,,,MARTIN'S CLEANERS & LAUNDRY,1012.97
LS12067,10/18/2022,SS,Accounts Receivable (A/R),,,,380.08,,,,,MARTIN'S CLEANERS & LAUNDRY,380.08
LS12066,10/18/2022,SS,Accounts Receivable (A/R),,,,1012.97,,,,,MARTIN'S CLEANERS & LAUNDRY,1012.97
LS12215,11/16/2022,SS,Accounts Receivable (A/R),,,380.08,,,,,,MARTIN'S CLEANERS & LAUNDRY,380.08
LS12214,11/16/2022,SS,Accounts Receivable (A/R),,,1012.97,,,,,,MARTIN'S CLEANERS & LAUNDRY,1012.97
LS12230,11/16/2022,SS,Accounts Receivable (A/R),,,435.44,,,,,,MCKINLEY CLEANERS,435.44
LS11580,07/14/2022,SS,Accounts Receivable (A/R),,,,,,,450.0,,MDOC-PARCHMAN,450.0
LS11949,10/06/2022,SS,Accounts Receivable (A/R),,,,515.2,,,,,MDOC-PARCHMAN,515.2
LS11993,10/13/2022,SS,Accounts Receivable (A/R),,,,463.45,,,,,MDOC-PARCHMAN,463.45
LS12037,10/23/2022,SS,Accounts Receivable (A/R),,,199.02,,,,,,MEADVILLE NURSING CENTER,199.02
LS9906,05/19/2021,SS,Accounts Receivable (A/R),,,,,,,23.8,,MERIDIAN COIN LAUNDRY (Formerly Keyway),23.8
LS10764,11/24/2021,SS,Accounts Receivable (A/R),,,,,,,798.84,,MERIDIAN COIN LAUNDRY (Formerly Keyway),798.84
LS11599,07/21/2022,SS,Accounts Receivable (A/R),,,,,,631.3,,,MERIDIAN COIN LAUNDRY (Formerly Keyway),631.3
LS10014,06/09/2021,SS,Accounts Receivable (A/R),,,,,,,80.25,,MERIGOLD LAUNDROMAT,80.25
LS10800,12/01/2021,SS,Accounts Receivable (A/R),,,,,,,299.6,,MERIGOLD LAUNDROMAT,299.6
LS10818,12/07/2021,SS,Accounts Receivable (A/R),,,,,,,27.48,,MERIGOLD LAUNDROMAT,27.48
LS11944,09/01/2022,SS,Accounts Receivable (A/R),,,,,75.73,,,,MERIGOLD LAUNDROMAT,75.73
LS11864,09/15/2022,SS,Accounts Receivable (A/R),,,,,387.88,,,,MISSISSIPPI BRAVES,387.88
LS11898,09/25/2022,SS,Accounts Receivable (A/R),,,,404.18,,,,,MISSISSIPPI BRAVES,404.18
LS11863,09/15/2022,SS,Accounts Receivable (A/R),,,,,1204.44,,,,MISSISSIPPI DELTA COMMUNITY COLLEGE,1204.44
LS11941,10/01/2022,SS,Accounts Receivable (A/R),,,,707.0,,,,,MISSISSIPPI DELTA COMMUNITY COLLEGE,707.0
LS12033,10/23/2022,SS,Accounts Receivable (A/R),,,304.89,,,,,,MISSISSIPPI DELTA COMMUNITY COLLEGE,304.89
LS12257,12/09/2022,SS,Accounts Receivable (A/R),,283.55,,,,,,,MISSISSIPPI TENT COMPANY,283.55
LS10404,09/13/2021,SS,Accounts Receivable (A/R),,,,,,,265.0,,MISSISSIPPI VALLEY STATE UNIVERSITY ATHLETICS,265.0
INV/2020/03/0044,03/09/2020,INV,Accounts Receivable (A/R),,,,,,,323.68,,MOTEL 6 FORMERLY DELUXE INN -MOSS POINT,323.68
BNK3/2022/03/063,03/03/2022,BNK3,Accounts Receivable (A/R),,,,,,,-53.5,,MULBERRY VICKSBURG,-53.5
LS11459,04/29/2022,SS,Accounts Receivable (A/R),,,,,,,406.6,,MULBERRY VICKSBURG,406.6
LS9742,04/21/2021,SS,Accounts Receivable (A/R),,,,,,,363.8,,Magnolia Lodge,363.8
LS10614,10/25/2021,SS,Accounts Receivable (A/R),,,,,,,167.75,,Marigold Apartments,167.75
LS10972,02/18/2022,SS,Accounts Receivable (A/R),,,,,,,583.0,,Marigold Apartments,583.0
LS11745,08/21/2022,SS,Accounts Receivable (A/R),,,,,308.0,,,,Marigold Apartments,308.0
LS12115,11/10/2022,SS,Accounts Receivable (A/R),,,490.6,,,,,,Marigold Apartments,490.6
LS9334,02/21/2021,SS,Accounts Receivable (A/R),,,,,,,392.98,,Mississippi Hardware Dist,392.98
LS11458,05/10/2022,SS,Accounts Receivable (A/R),,,,,,,6658.0,,Mississippi Hardware Dist,6658.0
BNK3/2022/04/269,04/28/2022,BNK3,Accounts Receivable (A/R),,,,,,,-319.36,,Morehouse General Hospital,-319.36
LS12250,12/07/2022,SS,Accounts Receivable (A/R),,652.5,,,,,,,Morehouse General Hospital,652.5
LS12281,12/15/2022,SS,Accounts Receivable (A/R),,555.0,,,,,,,Morehouse General Hospital,555.0
ANET/2021/02/0010,02/22/2021,ANET,Accounts Receivable (A/R),,,,,,,-0.01,,Mossy Oak Golf Club,-0.01
LS11738,08/19/2022,SS,Accounts Receivable (A/R),,,,,,1680.0,,,NCBC,1680.0
BOA/2022/08/0132,08/23/2022,BOA,Accounts Receivable (A/R),,,,,-1680.0,,,,NCBC,-1680.0
LS12018,10/20/2022,SS,Accounts Receivable (A/R),,,93.78,,,,,,NCBC,93.78
LS12095,11/04/2022,SS,Accounts Receivable (A/R),,,345.43,,,,,,NCBC,345.43
LS12022,10/21/2022,SS,Accounts Receivable (A/R),,,330.0,,,,,,NISSAN PLANT #560269,330.0
LS11275,04/28/2022,SS,Accounts Receivable (A/R),,,,,,,497.35,,NOBLES BROS CLEANERS,497.35
LS11496,06/18/2022,SS,Accounts Receivable (A/R),,,,,,,639.85,,NOBLES BROS CLEANERS,639.85
LS9319,02/19/2021,SS,Accounts Receivable (A/R),,,,,,,497.9,,NOR - RV PARK @ NCBC,497.9
LS12023,10/21/2022,SS,Accounts Receivable (A/R),,,316.0,,,,,,NOR - RV PARK @ NCBC,316.0
LS12124,11/12/2022,SS,Accounts Receivable (A/R),,,226.32,,,,,,NOR - RV PARK @ NCBC,226.32
LS12150,11/18/2022,SS,Accounts Receivable (A/R),,446.0,,,,,,,NOR - RV PARK @ NCBC,446.0
LS12245,12/03/2022,SS,Accounts Receivable (A/R),,223.0,,,,,,,NOR - RV PARK @ NCBC,223.0
LS12274,12/11/2022,SS,Accounts Receivable (A/R),,316.0,,,,,,,NOR - RV PARK @ NCBC,316.0
INV/2020/10/0052,10/09/2020,INV,Accounts Receivable (A/R),,,,,,,140.0,,NORTHWEST RANKIN HIGH SCHOOL,140.0
LS10689,12/04/2021,SS,Accounts Receivable (A/R),,,,,,,273.63,,NORTHWEST RANKIN HIGH SCHOOL,273.63
LS10861,01/19/2022,SS,Accounts Receivable (A/R),,,,,,,169.5,,NORTHWEST RANKIN HIGH SCHOOL,169.5
LS12193,11/25/2022,SS,Accounts Receivable (A/R),,330.0,,,,,,,NORTHWEST RANKIN HIGH SCHOOL,330.0
LS11680,08/07/2022,SS,Accounts Receivable (A/R),,,,,,926.31,,,NOXUBEE GENERAL HOSPITAL,926.31
LS12176,10/24/2022,SS,Accounts Receivable (A/R),,,195.71,,,,,,NOXUBEE GENERAL HOSPITAL,195.71
LS10355,09/30/2021,SS,Accounts Receivable (A/R),,,,,,,215.0,,Newton High School,215.0
LS10433,09/16/2021,SS,Accounts Receivable (A/R),,,,,,,27.23,,OAK GARDEN APARTMENTS,27.23
LS12242,12/03/2022,SS,Accounts Receivable (A/R),,422.65,,,,,,,OAK MANOR APARTMENTS,422.65
LS9305,01/14/2021,SS,Accounts Receivable (A/R),,,,,,,538.22,,OAK TREE INN-MACON,538.22
INV/2020/03/0027,03/03/2020,INV,Accounts Receivable (A/R),,,,,,,312.2,,OAKLEY TRAINING SCHOOL,312.2
LS12244,12/03/2022,SS,Accounts Receivable (A/R),,372.9,,,,,,,OKATOMA RESORT AND RV PARK,372.9
LS12201,11/27/2022,SS,Accounts Receivable (A/R),,321.31,,,,,,,OLD CAPITOL INN #112494,321.31
LS12240,12/03/2022,SS,Accounts Receivable (A/R),,83.17,,,,,,,OLD CAPITOL INN #112494,83.17
LS10985,02/19/2022,SS,Accounts Receivable (A/R),,,,,,,428.0,,OLD WAVERLY GOLF CLUB,428.0
LS11060,03/06/2022,SS,Accounts Receivable (A/R),,,,,,,1845.19,,OLD WAVERLY GOLF CLUB,1845.19
LS11083,03/17/2022,SS,Accounts Receivable (A/R),,,,,,,535.0,,OLD WAVERLY GOLF CLUB,535.0
LS9841,03/03/2021,SS,Accounts Receivable (A/R),,,,,,,1385.64,,OLIVE TREE HOTEL,1385.64
LS12157,11/19/2022,SS,Accounts Receivable (A/R),,881.12,,,,,,,PACHUTA 1STOP,881.12
LS12255,12/08/2022,SS,Accounts Receivable (A/R),,337.35,,,,,,,PACHUTA 1STOP,337.35
LS10089,06/25/2021,SS,Accounts Receivable (A/R),,,,,,,270.0,,PALACE INN,270.0
INV/2020/02/0068,02/10/2020,INV,Accounts Receivable (A/R),,,,,,,10.43,,PANK HOSPITALITY INC (M STAR HOTEL),10.43
LS11274,04/28/2022,SS,Accounts Receivable (A/R),,,,,,,260.0,,PEARL HIGH SCHOOL,260.0
LS11998,10/14/2022,SS,Accounts Receivable (A/R),,,,408.74,,,,,PERRY COUNTY NURSING,408.74
LS12194,11/26/2022,SS,Accounts Receivable (A/R),,372.9,,,,,,,PERRY COUNTY NURSING,372.9
LS12271,12/11/2022,SS,Accounts Receivable (A/R),,2051.03,,,,,,,PERRY COUNTY NURSING,2051.03
LS10750,12/19/2021,SS,Accounts Receivable (A/R),,,,,,,210.58,,PETSMART--Jackson,210.58
LS11800,09/01/2022,SS,Accounts Receivable (A/R),,,,,286.2,,,,PETSMART--Jackson,286.2
BOA/2022/07/0079,07/12/2022,BOA,Accounts Receivable (A/R),,,,,,,-32.47,,PINE KNOLL COIN,-32.47
LS11614,07/27/2022,SS,Accounts Receivable (A/R),,,,,,704.35,,,PINE KNOLL COIN,704.35
LS11960,10/06/2022,SS,Accounts Receivable (A/R),,,,126.58,,,,,PINE KNOLL COIN,126.58
LS12235,12/03/2022,SS,Accounts Receivable (A/R),,416.23,,,,,,,PINECREST NURSING HOME #60251,416.23
INV/2020/09/0042,09/10/2020,INV,Accounts Receivable (A/R),,,,,,,265.0,,Poplarville High School,265.0
LS12044,10/26/2022,SS,Accounts Receivable (A/R),,,408.74,,,,,,QUALITY INN LOUISVILLE,408.74
PYMT/2020/12/0075,12/22/2020,PYMT,Accounts Receivable (A/R),,,,,,,-13.25,,QUICK CLEAN CLEANERS,-13.25
LS11665,07/20/2022,SS,Accounts Receivable (A/R),,,,,,,289.34,,Quality Inn Jackson I-55 N (Desai Hotel Group),289.34
LS11795,08/16/2022,SS,Accounts Receivable (A/R),,,,,,289.34,,,Quality Inn Jackson I-55 N (Desai Hotel Group),289.34
LS11933,09/16/2022,SS,Accounts Receivable (A/R),,,,,289.34,,,,Quality Inn Jackson I-55 N (Desai Hotel Group),289.34
LS12078,10/18/2022,SS,Accounts Receivable (A/R),,,,289.34,,,,,Quality Inn Jackson I-55 N (Desai Hotel Group),289.34
LS12226,11/16/2022,SS,Accounts Receivable (A/R),,,289.34,,,,,,Quality Inn Jackson I-55 N (Desai Hotel Group),289.34
LS10205,07/23/2021,SS,Accounts Receivable (A/R),,,,,,,80.02,,Quality Inn- Indianola,80.02
LS10316,09/18/2021,SS,Accounts Receivable (A/R),,,,,,,312.63,,Quality Inn- Indianola,312.63
LS11045,02/02/2022,SS,Accounts Receivable (A/R),,,,,,,53.5,,RED ROOF INN - Hattiesburg,53.5
INV/2020/10/0118,10/23/2020,INV,Accounts Receivable (A/R),,,,,,,104.06,,RED ROOF INN - RIDGELAND,104.06
BOA/2022/07/0226,07/27/2022,BOA,Accounts Receivable (A/R),,,,,,-591.04,,,RED ROOF INN - RIDGELAND,-591.04
LS12104,11/06/2022,SS,Accounts Receivable (A/R),,,283.55,,,,,,RED ROOF INN - RIDGELAND,283.55
LS12277,12/11/2022,SS,Accounts Receivable (A/R),,1680.84,,,,,,,RED ROOF INN - RIDGELAND,1680.84
LS10640,10/28/2021,SS,Accounts Receivable (A/R),,,,,,,431.75,,RED ROOF INN -STARKVILLE,431.75
LS11780,08/31/2022,SS,Accounts Receivable (A/R),,,,,310.3,,,,RIVER BEND APARTMENTS,310.3
LS12108,11/09/2022,SS,Accounts Receivable (A/R),,,652.17,,,,,,RIVER BEND APARTMENTS,652.17
LS11691,08/12/2022,SS,Accounts Receivable (A/R),,,,,,376.11,,,RODEWAY INN Canton,376.11
LS11871,08/18/2022,SS,Accounts Receivable (A/R),,,,,,8733.34,,,RODEWAY INN Canton,8733.34
INV/2020/07/0065,07/09/2020,INV,Accounts Receivable (A/R),,,,,,,149.8,,Rodeway Inn - Ridgeland,149.8
LS11714,07/18/2022,SS,Accounts Receivable (A/R),,,,,,,5016.16,,Rodeway Inn Hazlehurst,5016.16
LS11938,10/01/2022,SS,Accounts Receivable (A/R),,,,408.74,,,,,Rodeway Inn--Greenwood,408.74
LS12036,10/23/2022,SS,Accounts Receivable (A/R),,,897.73,,,,,,Rodeway Inn--Greenwood,897.73
LS10088,06/25/2021,SS,Accounts Receivable (A/R),,,,,,,225.77,,Royal Inn - Taylorsville (formerly known as Red Carpet),225.77
LS11842,09/10/2022,SS,Accounts Receivable (A/R),,,,,439.24,,,,Royal Inn - Taylorsville (formerly known as Red Carpet),439.24
LS12254,12/08/2022,SS,Accounts Receivable (A/R),,283.55,,,,,,,SANDERSON FARMS - HAZLEHU,283.55
LS9430,01/25/2021,SS,Accounts Receivable (A/R),,,,,,,482.64,,SANDI'S COIN LAUNDRY,482.64
LS9541,03/11/2021,SS,Accounts Receivable (A/R),,,,,,,80.25,,SANDI'S COIN LAUNDRY,80.25
INV/2020/10/0119,10/23/2020,INV,Accounts Receivable (A/R),,,,,,,27.86,,SCOTT COUNTY JAIL,27.86
LS11473,05/12/2022,SS,Accounts Receivable (A/R),,,,,,,130.63,,SCOTT COUNTY JAIL,130.63
LS11468,06/11/2022,SS,Accounts Receivable (A/R),,,,,,,150.0,,SCOTT COUNTY JAIL,150.0
INV/2020/05/0096,05/22/2020,INV,Accounts Receivable (A/R),,,,,,,90.41,,SECURITY MANAGEMENT LLC - Tallulah (Madison Parish Det.),90.41
LS12286,12/17/2022,SS,Accounts Receivable (A/R),,283.55,,,,,,,SERVPRO of Vicksburg & Yazoo,283.55
LS11912,09/30/2022,SS,Accounts Receivable (A/R),,,,524.3,,,,,"SHAGGY HOUND, LLC",524.3
LS11900,09/25/2022,SS,Accounts Receivable (A/R),,,,407.67,,,,,SIDS LAUNDRY,407.67
LS11914,09/30/2022,SS,Accounts Receivable (A/R),,,,59.65,,,,,SIDS LAUNDRY,59.65
LS12237,12/03/2022,SS,Accounts Receivable (A/R),,372.9,,,,,,,SILVER CROSS HOME,372.9
LS12248,12/04/2022,SS,Accounts Receivable (A/R),,25.98,,,,,,,SILVER CROSS HOME,25.98
LS10677,12/02/2021,SS,Accounts Receivable (A/R),,,,,,,148.15,,SIMPSON COUNTY SHERIFF DEPT,148.15
LS10670,12/02/2021,SS,Accounts Receivable (A/R),,,,,,,140.0,,SIMPSON COUNTY SHERIFF DEPT,140.0
LS10957,02/12/2022,SS,Accounts Receivable (A/R),,,,,,,335.0,,SIMPSON COUNTY SHERIFF DEPT,335.0
LS11182,04/01/2022,SS,Accounts Receivable (A/R),,,,,,,115.36,,SIT N SPIN,115.36
LS11637,07/31/2022,SS,Accounts Receivable (A/R),,,,,,224.7,,,SLEEP INN - FLOWOOD,224.7
LS12258,12/09/2022,SS,Accounts Receivable (A/R),,1038.69,,,,,,,SLEEP INN - FLOWOOD,1038.69
LS11892,09/24/2022,SS,Accounts Receivable (A/R),,,,431.05,,,,,SOUTHERN CORRECTIONAL FACILITY - TALLULAH,431.05
BNK3/2021/05/0012,05/04/2021,BNK3,Accounts Receivable (A/R),,,,,,,-270.75,,"SOUTHERN SPIN OF JACKSON, TN - Rhino Construction Group",-270.75
LS11626,06/29/2022,SS,Accounts Receivable (A/R),,,,,,,652.42,,"SOUTHERN SPIN OF JACKSON, TN - Rhino Construction Group",652.42
LS10704,12/09/2021,SS,Accounts Receivable (A/R),,,,,,,318.12,,SPLISH SPLASH LAUNDRY- MEMPHIS,318.12
LS10824,01/08/2022,SS,Accounts Receivable (A/R),,,,,,,127.96,,SPLISH SPLASH LAUNDRY- MEMPHIS,127.96
LS11373,05/21/2022,SS,Accounts Receivable (A/R),,,,,,,548.75,,SPLISH SPLASH LAUNDRY- MEMPHIS,548.75
LS11378,05/25/2022,SS,Accounts Receivable (A/R),,,,,,,167.56,,SPLISH SPLASH LAUNDRY- MEMPHIS,167.56
LS12276,11/11/2022,SS,Accounts Receivable (A/R),,,27.19,,,,,,SPLISH SPLASH LAUNDRY- MEMPHIS,27.19
INV/2020/12/0078,12/21/2020,INV,Accounts Receivable (A/R),,,,,,,67.57,,STUDIO 6 - PASCAGOULA,67.57
LS9985,06/01/2021,SS,Accounts Receivable (A/R),,,,,,,149.8,,STUDIO 6 - PASCAGOULA,149.8
INV/2020/04/0009,04/07/2020,INV,Accounts Receivable (A/R),,,,,,,375.84,,STUDIO 6 ES - OCEAN SPRINGS,375.84
INV/2020/05/0024,05/06/2020,INV,Accounts Receivable (A/R),,,,,,,283.55,,STUDIO 6 EXTENDED STAY - OCEAN SPRINGS,283.55
RSS/2020/12/0012,12/30/2020,SS,Accounts Receivable (A/R),,,,,,,-2.13,,"SUDS COIN LAUNDRY LAUNDRY (PARKER GROUP HOLDINGS, LLC)",-2.13
INV/2020/03/0076,03/13/2020,INV,Accounts Receivable (A/R),,,,,,,0.15,,SUDS LLC,0.15
LS10840,12/13/2021,SS,Accounts Receivable (A/R),,,,,,,206.31,,SUDS LLC,206.31
LS10907,02/02/2022,SS,Accounts Receivable (A/R),,,,,,,185.48,,SUDS LLC,185.48
LS11067,03/06/2022,SS,Accounts Receivable (A/R),,,,,,,120.23,,SUDS LLC,120.23
LS11986,09/12/2022,SS,Accounts Receivable (A/R),,,,,228.78,,,,SUDS LLC,228.78
LS9922,05/24/2021,SS,Accounts Receivable (A/R),,,,,,,108.79,,SUDZ R US - FOREST,108.79
LS10769,12/29/2021,SS,Accounts Receivable (A/R),,,,,,,93.09,,SUDZ R US - FOREST,93.09
LS11075,03/11/2022,SS,Accounts Receivable (A/R),,,,,,,97.91,,SUDZ R US - FOREST,97.91
LS11817,09/08/2022,SS,Accounts Receivable (A/R),,,,,1265.92,,,,SUDZ R US - FOREST,1265.92
LS11778,08/31/2022,SS,Accounts Receivable (A/R),,,,,886.14,,,,SUNPLEX SUBACUTE CENTER,886.14
LS11964,09/07/2022,SS,Accounts Receivable (A/R),,,,,57.38,,,,SUNPLEX SUBACUTE CENTER,57.38
LS11973,09/08/2022,SS,Accounts Receivable (A/R),,,,,450.82,,,,SUNPLEX SUBACUTE CENTER,450.82
LS11963,10/07/2022,SS,Accounts Receivable (A/R),,,,346.62,,,,,SUNPLEX SUBACUTE CENTER,346.62
LS12032,10/22/2022,SS,Accounts Receivable (A/R),,,442.45,,,,,,SUNPLEX SUBACUTE CENTER,442.45
INV/2020/10/0018,10/01/2020,INV,Accounts Receivable (A/R),,,,,,,70.41,,SUNSET CLEANERS dba One Hour Cleaners,70.41
INV/2020/07/0088,07/15/2020,INV,Accounts Receivable (A/R),,,,,,,271.08,,"SUNSET LAUNDRY, INC",271.08
LS12110,10/10/2022,SS,Accounts Receivable (A/R),,,,157.86,,,,,SUPER 6 INN & SUITES CLEVELAND,157.86
LS12180,10/25/2022,SS,Accounts Receivable (A/R),,,28.77,,,,,,SUPER 6 INN & SUITES CLEVELAND,28.77
LS12049,10/27/2022,SS,Accounts Receivable (A/R),,,524.3,,,,,,SUPER 6 INN & SUITES CLEVELAND,524.3
LS12181,11/24/2022,SS,Accounts Receivable (A/R),,559.08,,,,,,,SUPER 6 INN & SUITES CLEVELAND,559.08
LS12212,12/01/2022,SS,Accounts Receivable (A/R),,408.74,,,,,,,SUPER 8 - Natchez,408.74
INV/2020/10/0143,10/29/2020,INV,Accounts Receivable (A/R),,,,,,,16.05,,SUPER 8 KOSCIUSKO,16.05
INV/2020/12/0069,12/17/2020,INV,Accounts Receivable (A/R),,,,,,,283.55,,SUPER 8- MERIDIAN,283.55
LS12132,11/16/2022,SS,Accounts Receivable (A/R),,,408.74,,,,,,Sanderson Farms- McComb,408.74
LS11417,09/21/2022,SS,Accounts Receivable (A/R),,,,-2239.14,,,,,Sanderson Farms-Collins,-2239.14
BNK3/2021/05/0086,05/11/2021,BNK3,Accounts Receivable (A/R),,,,,,,-422.83,,Sleep Inn & Mainstay - Meridian,-422.83
LS11872,09/17/2022,SS,Accounts Receivable (A/R),,,,,593.85,,,,Sleep Inn & Mainstay - Meridian,593.85
LS11948,10/02/2022,SS,Accounts Receivable (A/R),,,,5370.43,,,,,Southern Estates RV Park,5370.43
LS10149,07/12/2021,SS,Accounts Receivable (A/R),,,,,,,368.08,,Spin-n-Jacks,368.08
LS12087,11/02/2022,SS,Accounts Receivable (A/R),,,541.16,,,,,,Sudz Coin Laundry -Monroe,541.16
LS10921,02/04/2022,SS,Accounts Receivable (A/R),,,,,,,740.89,,"THE COLUMBUS LAUNDROMAT (GUY ENTERPRISES, LLC)",740.89
LS11092,02/16/2022,SS,Accounts Receivable (A/R),,,,,,,819.44,,"THE COLUMBUS LAUNDROMAT (GUY ENTERPRISES, LLC)",819.44
LS11207,04/07/2022,SS,Accounts Receivable (A/R),,,,,,,85.62,,"THE COLUMBUS LAUNDROMAT (GUY ENTERPRISES, LLC)",85.62
LS11205,04/07/2022,SS,Accounts Receivable (A/R),,,,,,,750.75,,"THE COLUMBUS LAUNDROMAT (GUY ENTERPRISES, LLC)",750.75
LS11216,04/13/2022,SS,Accounts Receivable (A/R),,,,,,,160.56,,"THE COLUMBUS LAUNDROMAT (GUY ENTERPRISES, LLC)",160.56
LS12282,12/16/2022,SS,Accounts Receivable (A/R),,49600.92,,,,,,,"THE COLUMBUS LAUNDROMAT (GUY ENTERPRISES, LLC)",49600.92
LS9674,04/07/2021,SS,Accounts Receivable (A/R),,,,,,,173.88,,THE GYM AT BYRAM,173.88
LS9683,04/08/2021,SS,Accounts Receivable (A/R),,,,,,,337.59,,THE GYM AT BYRAM,337.59
LS11952,10/06/2022,SS,Accounts Receivable (A/R),,,,6360.0,,,,,THE NAVY LODGE,6360.0
LS12198,11/26/2022,SS,Accounts Receivable (A/R),,29020.1,,,,,,,THE PET HOSPITALS LAKELAND BOARDING AND GROOMING,29020.1
LS11369,05/21/2022,SS,Accounts Receivable (A/R),,,,,,,195.04,,THE QUARTERS ASSISTED LIVING,195.04
LS11957,09/06/2022,SS,Accounts Receivable (A/R),,,,,223.59,,,,THE WASH,223.59
LS11956,10/06/2022,SS,Accounts Receivable (A/R),,,,1121.9,,,,,THE WASH,1121.9
LS12170,11/23/2022,SS,Accounts Receivable (A/R),,353.1,,,,,,,THE WASH DEPOT CANTON,353.1
INV/2020/06/0037,06/08/2020,INV,Accounts Receivable (A/R),,,,,,,0.09,,TODD BEENE LAUNDRY - Delhi,0.09
LS11568,07/09/2022,SS,Accounts Receivable (A/R),,,,,,,955.4,,TODD BEENE LAUNDRY - Delhi,955.4
LS10623,11/25/2021,SS,Accounts Receivable (A/R),,,,,,,0.32,,TODD BEENE LAUNDRY-TALLULAH,0.32
LS11241,03/17/2022,SS,Accounts Receivable (A/R),,,,,,,60.66,,TODD BEENE LAUNDRY-TALLULAH,60.66
INV/2020/05/0077,05/20/2020,INV,Accounts Receivable (A/R),,,,,,,93.63,,TREND - EDGEWOOD HEALTH & REHAB,93.63
LS11928,09/16/2022,SS,Accounts Receivable (A/R),,,,,1203.75,,,,TREND - EDGEWOOD HEALTH & REHAB,1203.75
LS12073,10/18/2022,SS,Accounts Receivable (A/R),,,,873.12,,,,,TREND - NORTH POINTE HEALTH & REHABILITATION,873.12
LS12221,11/16/2022,SS,Accounts Receivable (A/R),,,873.12,,,,,,TREND - NORTH POINTE HEALTH & REHABILITATION,873.12
ANET/2021/03/0013,03/23/2021,ANET,Accounts Receivable (A/R),,,,,,,-73.82,,TREND HEALTH AND REHAB OF CARTHAGE,-73.82
LS11929,09/16/2022,SS,Accounts Receivable (A/R),,,,,318.86,,,,TREND HEALTH AND REHAB OF CARTHAGE,318.86
LS12074,10/18/2022,SS,Accounts Receivable (A/R),,,,318.86,,,,,TREND HEALTH AND REHAB OF CARTHAGE,318.86
LS12222,11/16/2022,SS,Accounts Receivable (A/R),,,318.86,,,,,,TREND HEALTH AND REHAB OF CARTHAGE,318.86
LS11736,07/20/2022,SS,Accounts Receivable (A/R),,,,,,,444.05,,"TRU BY HILTON GREENVILLE, MS",444.05
LS12030,10/22/2022,SS,Accounts Receivable (A/R),,,3804.71,,,,,,"TRU BY HILTON GREENVILLE, MS",3804.71
LS10409,10/14/2021,SS,Accounts Receivable (A/R),,,,,,,1456.0,,TYSON FOODS CARTHAGE,1456.0
LS10508,11/05/2021,SS,Accounts Receivable (A/R),,,,,,,17.26,,TYSON FOODS CARTHAGE,17.26
LS11307,05/05/2022,SS,Accounts Receivable (A/R),,,,,,,299.6,,TYSON FOODS CARTHAGE,299.6
LS11682,08/07/2022,SS,Accounts Receivable (A/R),,,,,,227.65,,,TYSON FOODS CARTHAGE,227.65
LS11728,08/18/2022,SS,Accounts Receivable (A/R),,,,,,272.85,,,TYSON FOODS CARTHAGE,272.85
LS11832,09/09/2022,SS,Accounts Receivable (A/R),,,,,2140.0,,,,TYSON FOODS CARTHAGE,2140.0
LS11831,09/09/2022,SS,Accounts Receivable (A/R),,,,,4274.78,,,,TYSON FOODS CARTHAGE,4274.78
LS12147,11/18/2022,SS,Accounts Receivable (A/R),,372.9,,,,,,,TYSON FOODS CARTHAGE,372.9
INV/2020/09/0087,09/23/2020,INV,Accounts Receivable (A/R),,,,,,,89.61,,TYSON FOODS INC - Forest,89.61
BNK3/2020/12/0002,12/31/2020,BNK3,Accounts Receivable (A/R),,,,,,,18.0,,The Fitness Center @NCBC,18.0
